orden,fecha,a_o,mes,d_a,gravedad,peaton,automovil,campaero,camioneta,micro,buseta,bus,camion,volqueta,moto,bicicleta,otro,via_1,barrio,hora,entidad,nombrecomuna,propietario_de_veh_culo,diurnio_nocturno,hora_restriccion_moto
559,21/02/2012,2012,02. Febrero,02. Martes,Con Heridos,0,0,0,1,0,0,0,0,0,1,0,0,CARRERA,Cabecera del Llano,10:35:00 a. m.,AGENTES DTB,12. CABECERA DEL LLANO,Particular,Diurno,Sin restricción
560,21/02/2012,2012,02. Febrero,02. Martes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,BOULEVAR BOLIVAR,San Francisco,07:41:00 a. m.,AGENTES DTB,03. SAN FRANCISCO,Particular,Diurno,No aplica
561,21/02/2012,2012,02. Febrero,02. Martes,Con Heridos,0,0,0,0,0,1,0,0,0,0,0,0,CARRERA,San Rafael,05:10:00 p. m.,AGENTES DTB,03. SAN FRANCISCO,Empresa,Diurno,No aplica
562,21/02/2012,2012,02. Febrero,02. Martes,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,AUTOPISTA FLORIDA BUCARAMANGA,Diamante I,01:50:00 p. m.,AGENTES DTB,09. LA PEDREGOSA,Particular,Diurno,Sin restricción
563,21/02/2012,2012,02. Febrero,02. Martes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CALLE,Provenza,11:10:00 a. m.,AGENTES DTB,10. PROVENZA,Particular,Diurno,No aplica
564,21/02/2012,2012,02. Febrero,02. Martes,Con Heridos,1,1,0,0,0,0,0,0,0,0,0,0,CALLE,Universidad,06:30:00 p. m.,AGENTES DTB,03. SAN FRANCISCO,Particular,Nocturno,No aplica
565,21/02/2012,2012,02. Febrero,02. Martes,Solo Daños,0,1,0,0,0,0,0,1,0,0,0,0,AVENIDA BUCAROS,San Francisco,09:55:00 a. m.,AGENTES DTB,03. SAN FRANCISCO,Particular,Diurno,No aplica
566,21/02/2012,2012,02. Febrero,02. Martes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CALLE,Bosque norte,09:45:00 p. m.,AGENTES DTB,02. NORORIENTAL,Particular,Nocturno,No aplica
567,21/02/2012,2012,02. Febrero,02. Martes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CALLE,Centro,01:00:00 p. m.,AGENTES DTB,15. CENTRO,Particular,Diurno,No aplica
568,22/02/2012,2012,02. Febrero,03. Miercoles,Con Heridos,1,1,0,0,0,0,0,0,0,0,0,0,CALLE,La Feria,06:50:00 a. m.,AGENTES DTB,04. OCCIDENTAL,Particular,Diurno,No aplica
569,22/02/2012,2012,02. Febrero,03. Miercoles,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,Provenza,10:50:00 a. m.,AGENTES DTB,10. PROVENZA,Particular,Diurno,Sin restricción
570,22/02/2012,2012,02. Febrero,03. Miercoles,Solo Daños,0,0,0,0,0,1,0,0,0,0,0,0,CARRERA,LA CANTERA-EL CERRO,02:00:00 p. m.,AGENTES DTB,07. LA CIUDADELA,Particular,Diurno,No aplica
571,22/02/2012,2012,02. Febrero,03. Miercoles,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,AUTOPISTA GIRÓN,Rio de Oro I,04:00:00 p. m.,AGENTES DTB,04. OCCIDENTAL,Particular,Diurno,Sin restricción
572,22/02/2012,2012,02. Febrero,03. Miercoles,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CARRERA,La Concordia,11:30:00 a. m.,AGENTES DTB,06. LA CONCORDIA,Empresa,Diurno,No aplica
573,22/02/2012,2012,02. Febrero,03. Miercoles,Con Heridos,0,0,0,1,0,0,0,0,0,1,0,0,CALLE,Modelo,10:15:00 a. m.,AGENTES DTB,03. SAN FRANCISCO,Particular,Diurno,Sin restricción
574,22/02/2012,2012,02. Febrero,03. Miercoles,Solo Daños,0,1,1,0,0,0,0,0,0,0,0,0,CARRERA,Cabecera del Llano,06:40:00 p. m.,AGENTES DTB,12. CABECERA DEL LLANO,Particular,Nocturno,No aplica
575,22/02/2012,2012,02. Febrero,03. Miercoles,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CALLE,Provenza,02:40:00 p. m.,AGENTES DTB,10. PROVENZA,Particular,Diurno,Sin restricción
576,22/02/2012,2012,02. Febrero,03. Miercoles,Solo Daños,0,1,0,0,0,0,0,0,0,0,0,1,CARRERA,San Rafael,07:15:00 p. m.,AGENTES DTB,03. SAN FRANCISCO,Particular,Nocturno,No aplica
577,22/02/2012,2012,02. Febrero,03. Miercoles,Con Heridos,0,0,0,0,0,1,0,0,0,1,0,0,AVENIDA Q SECA,Centro,07:40:00 p. m.,AGENTES DTB,15. CENTRO,Empresa,Nocturno,Sin restricción
578,22/02/2012,2012,02. Febrero,03. Miercoles,Con Heridos,0,0,0,0,0,0,0,1,0,1,0,0,AVENIDA Q SECA,Alarcon,09:40:00 a. m.,AGENTES DTB,03. SAN FRANCISCO,Particular,Diurno,Sin restricción
579,22/02/2012,2012,02. Febrero,03. Miercoles,Con Heridos,1,0,0,1,0,0,0,0,0,1,0,0,CARRERA,Centro,07:10:00 a. m.,AGENTES DTB,15. CENTRO,Particular,Diurno,Sin restricción
580,22/02/2012,2012,02. Febrero,03. Miercoles,Con Heridos,0,0,0,0,0,0,0,0,0,1,0,0,AUTOPISTA GIRÓN,Africa,02:00:00 p. m.,AGENTES DTB,08. SUROCCIDENTE,Empresa,Diurno,Sin restricción
581,22/02/2012,2012,02. Febrero,03. Miercoles,Con Heridos,1,0,0,0,0,0,0,0,0,1,0,0,ANILLO VIAL,Cafe Madrid,06:45:00 p. m.,AGENTES DTB,01. NORTE,Particular,Nocturno,Sin restricción
582,23/02/2012,2012,02. Febrero,04. Jueves,Con Muertos,0,0,0,0,1,0,0,0,0,1,0,0,TRANSVERSAL METROPOLITANA,SIN INFORMACION,01:05:00 p. m.,AGENTES DTB,SIN INFORMACION,Empresa,Diurno,Sin restricción
583,23/02/2012,2012,02. Febrero,04. Jueves,Con Heridos,0,0,0,0,0,0,0,0,0,2,0,0,AVENIDA LA ROSITA,Bolivar,11:20:00 a. m.,AGENTES DTB,13. ORIENTAL,Empresa,Diurno,Sin restricción
584,23/02/2012,2012,02. Febrero,04. Jueves,Con Heridos,0,0,0,0,0,1,0,0,0,1,0,0,AVENIDA Q SECA,Centro,12:30:00 p. m.,AGENTES DTB,15. CENTRO,Empresa,Diurno,Sin restricción
585,23/02/2012,2012,02. Febrero,04. Jueves,Con Heridos,0,0,0,0,0,0,0,0,0,1,0,0,AUTOPISTA GIRÓN,Rio de Oro I,05:00:00 a. m.,AGENTES DTB,04. OCCIDENTAL,Empresa,Nocturno,Sin restricción
586,23/02/2012,2012,02. Febrero,04. Jueves,Solo Daños,0,1,0,0,0,0,0,0,1,0,0,0,DIAGONAL,Cabecera del Llano,11:00:00 a. m.,AGENTES DTB,12. CABECERA DEL LLANO,Empresa,Diurno,No aplica
587,23/02/2012,2012,02. Febrero,04. Jueves,Con Heridos,0,1,0,1,0,0,0,0,0,0,0,0,CARRERA,La Aurora,04:00:00 p. m.,AGENTES DTB,13. ORIENTAL,Particular,Diurno,No aplica
588,23/02/2012,2012,02. Febrero,04. Jueves,Con Heridos,1,0,0,1,0,0,0,0,0,0,0,0,CALLE,Ricaurte,04:00:00 p. m.,AGENTES DTB,06. LA CONCORDIA,Empresa,Diurno,No aplica
589,23/02/2012,2012,02. Febrero,04. Jueves,Con Heridos,0,0,0,0,0,0,1,0,0,0,0,0,AUTOPISTA GIRÓN,Bucaramanga,09:30:00 p. m.,AGENTES DTB,08. SUROCCIDENTE,Empresa,Nocturno,No aplica
590,23/02/2012,2012,02. Febrero,04. Jueves,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CALLE,Alarcon,09:48:00 a. m.,AGENTES DTB,03. SAN FRANCISCO,Empresa,Diurno,Sin restricción
591,23/02/2012,2012,02. Febrero,04. Jueves,Solo Daños,0,1,0,0,0,0,1,0,0,0,0,0,CALLE,San Francisco,08:05:00 a. m.,AGENTES DTB,03. SAN FRANCISCO,Empresa,Diurno,No aplica
592,23/02/2012,2012,02. Febrero,04. Jueves,Con Heridos,0,0,0,0,0,0,0,0,0,2,0,0,CARRERA,La Aurora,11:00:00 a. m.,AGENTES DTB,13. ORIENTAL,Empresa,Diurno,Sin restricción
593,23/02/2012,2012,02. Febrero,04. Jueves,Solo Daños,0,0,0,1,0,0,0,1,0,0,0,0,CARRERA,Centro,11:30:00 a. m.,AGENTES DTB,15. CENTRO,Empresa,Diurno,No aplica
594,23/02/2012,2012,02. Febrero,04. Jueves,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CARRERA,Diamante I,01:00:00 p. m.,AGENTES DTB,09. LA PEDREGOSA,Empresa,Diurno,No aplica
595,23/02/2012,2012,02. Febrero,04. Jueves,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CALLE,Antonia Santos Centro,02:50:00 p. m.,AGENTES DTB,13. ORIENTAL,Empresa,Diurno,Sin restricción
596,24/02/2012,2012,02. Febrero,05. Viernes,Con Heridos,0,0,0,0,0,0,0,0,0,1,0,0,AUTOPISTA GIRÓN,Bucaramanga,12:02:00 a. m.,AGENTES DTB,08. SUROCCIDENTE,Particular,Nocturno,En restricción
597,24/02/2012,2012,02. Febrero,05. Viernes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CARRERA,Cabecera del Llano,05:30:00 p. m.,AGENTES DTB,12. CABECERA DEL LLANO,Particular,Diurno,No aplica
598,24/02/2012,2012,02. Febrero,05. Viernes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CALLE,Universidad,03:50:00 p. m.,AGENTES DTB,03. SAN FRANCISCO,Particular,Diurno,No aplica
599,24/02/2012,2012,02. Febrero,05. Viernes,Con Heridos,0,0,1,0,0,0,0,0,0,1,0,0,CALLE,Ciudad Venecia,05:05:00 p. m.,AGENTES DTB,11. SUR,Particular,Diurno,Sin restricción
600,24/02/2012,2012,02. Febrero,05. Viernes,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,VIA MATANZA,Bucaramanga,07:40:00 p. m.,AGENTES DTB,08. SUROCCIDENTE,Particular,Nocturno,Sin restricción
601,24/02/2012,2012,02. Febrero,05. Viernes,Solo Daños,0,1,0,1,0,0,0,0,0,0,0,0,CALLE,La Salle,05:20:00 p. m.,AGENTES DTB,06. LA CONCORDIA,Particular,Diurno,No aplica
602,24/02/2012,2012,02. Febrero,05. Viernes,Solo Daños,0,0,0,1,0,0,0,0,0,1,0,0,CALLE,Girardot,06:05:00 p. m.,AGENTES DTB,04. OCCIDENTAL,Particular,Nocturno,Sin restricción
603,24/02/2012,2012,02. Febrero,05. Viernes,Solo Daños,0,1,0,1,0,0,0,0,0,0,0,0,DIAGONAL 15,Centro,07:15:00 p. m.,AGENTES DTB,15. CENTRO,Particular,Nocturno,No aplica
604,24/02/2012,2012,02. Febrero,05. Viernes,Solo Daños,0,1,0,0,1,0,0,0,0,0,0,0,CARRERA,Antiguo Campestre,04:50:00 p. m.,AGENTES DTB,12. CABECERA DEL LLANO,Empresa,Diurno,No aplica
605,24/02/2012,2012,02. Febrero,05. Viernes,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,AVENIDA LA ROSITA,La Concordia,09:40:00 a. m.,AGENTES DTB,06. LA CONCORDIA,Particular,Diurno,Sin restricción
606,24/02/2012,2012,02. Febrero,05. Viernes,Solo Daños,0,0,0,0,0,0,0,1,1,0,0,0,AUTOPISTA GIRÓN,Bucaramanga,12:10:00 p. m.,AGENTES DTB,08. SUROCCIDENTE,Empresa,Diurno,No aplica
607,24/02/2012,2012,02. Febrero,05. Viernes,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,Ricaurte,08:00:00 a. m.,AGENTES DTB,06. LA CONCORDIA,Particular,Diurno,Sin restricción
608,25/02/2012,2012,02. Febrero,06. Sabado,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CALLE,Cabecera del Llano,12:10:00 a. m.,AGENTES DTB,12. CABECERA DEL LLANO,Particular,Nocturno,En restricción
609,25/02/2012,2012,02. Febrero,06. Sabado,Con Heridos,0,0,0,0,0,0,0,0,0,1,1,0,AUTOPISTA  NORTE,Rio de Oro I,09:55:00 p. m.,AGENTES DTB,04. OCCIDENTAL,Empresa,Nocturno,Sin restricción
610,25/02/2012,2012,02. Febrero,06. Sabado,Solo Daños,0,0,0,0,0,0,0,0,0,2,0,0,CARRERA,San Francisco,03:40:00 p. m.,AGENTES DTB,03. SAN FRANCISCO,Particular,Diurno,Sin restricción
611,25/02/2012,2012,02. Febrero,06. Sabado,Solo Daños,0,0,0,0,0,0,0,0,0,2,0,0,BOULEVAR BOLIVAR,San Francisco,04:30:00 p. m.,AGENTES DTB,03. SAN FRANCISCO,Particular,Diurno,Sin restricción
612,25/02/2012,2012,02. Febrero,06. Sabado,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,San Francisco,05:30:00 p. m.,AGENTES DTB,03. SAN FRANCISCO,Empresa,Diurno,Sin restricción
613,25/02/2012,2012,02. Febrero,06. Sabado,Solo Daños,0,0,0,1,0,0,0,0,0,1,0,0,AUTOPISTA GIRÓN,Lagos del Cacique,09:30:00 a. m.,AGENTES DTB,16. LAGOS DEL CACIQUE,Particular,Diurno,Sin restricción
614,25/02/2012,2012,02. Febrero,06. Sabado,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CALLE,Gaitan,09:10:00 p. m.,AGENTES DTB,04. OCCIDENTAL,Empresa,Nocturno,No aplica
615,25/02/2012,2012,02. Febrero,06. Sabado,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,CALLE,Centro,04:30:00 p. m.,AGENTES DTB,15. CENTRO,Particular,Diurno,Sin restricción
616,25/02/2012,2012,02. Febrero,06. Sabado,Solo Daños,0,1,0,0,0,1,0,0,0,0,0,0,CARRERA,El Prado,09:50:00 a. m.,AGENTES DTB,13. ORIENTAL,Empresa,Diurno,No aplica
617,25/02/2012,2012,02. Febrero,06. Sabado,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,TRANSVERSAL ORIENTAL,El Tejar,10:29:00 a. m.,AGENTES DTB,16. LAGOS DEL CACIQUE,Particular,Diurno,No aplica
618,25/02/2012,2012,02. Febrero,06. Sabado,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,CALLE,Cabecera del Llano,10:20:00 a. m.,AGENTES DTB,12. CABECERA DEL LLANO,Particular,Diurno,Sin restricción
619,25/02/2012,2012,02. Febrero,06. Sabado,Solo Daños,0,1,0,0,0,0,0,1,0,0,0,0,AUTOPISTA  NORTE,San Rafael,11:00:00 a. m.,AGENTES DTB,02. NORORIENTAL,Empresa,Diurno,No aplica
620,25/02/2012,2012,02. Febrero,06. Sabado,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CARRERA,Centro,11:45:00 a. m.,AGENTES DTB,15. CENTRO,Particular,Diurno,No aplica
621,25/02/2012,2012,02. Febrero,06. Sabado,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,Cabecera del Llano,12:40:00 p. m.,AGENTES DTB,12. CABECERA DEL LLANO,Particular,Diurno,Sin restricción
622,25/02/2012,2012,02. Febrero,06. Sabado,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,AUTOPISTA FLORIDA BUCARAMANGA,Antonia Santos Sur,03:00:00 p. m.,AGENTES DTB,09. LA PEDREGOSA,Particular,Diurno,Sin restricción
623,25/02/2012,2012,02. Febrero,06. Sabado,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,AUTOPISTA FLORIDA BUCARAMANGA,CONUCOS,03:45:00 p. m.,AGENTES DTB,12. CABECERA DEL LLANO,Particular,Diurno,Sin restricción
624,25/02/2012,2012,02. Febrero,06. Sabado,Solo Daños,0,0,0,1,0,0,1,0,0,0,0,0,AUTOPISTA FLORIDA BUCARAMANGA,Diamante II,04:00:00 p. m.,AGENTES DTB,10. PROVENZA,Empresa,Diurno,No aplica
625,25/02/2012,2012,02. Febrero,06. Sabado,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,AUTOPISTA FLORIDA BUCARAMANGA,Diamante II,04:30:00 p. m.,AGENTES DTB,10. PROVENZA,Particular,Diurno,No aplica
626,25/02/2012,2012,02. Febrero,06. Sabado,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CALLE,Diamante II,02:30:00 p. m.,AGENTES DTB,10. PROVENZA,Particular,Diurno,No aplica
627,25/02/2012,2012,02. Febrero,06. Sabado,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CARRERA,Antonia Santos Centro,05:40:00 p. m.,AGENTES DTB,13. ORIENTAL,Empresa,Diurno,No aplica
628,25/02/2012,2012,02. Febrero,06. Sabado,Solo Daños,0,1,0,0,0,0,0,1,0,0,0,0,BOULEVAR BOLIVAR,San Francisco,05:20:00 p. m.,AGENTES DTB,03. SAN FRANCISCO,Empresa,Diurno,No aplica
629,26/02/2012,2012,02. Febrero,07. Domingo,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,Provenza,02:20:00 a. m.,AGENTES DTB,10. PROVENZA,Empresa,Nocturno,En restricción
630,26/02/2012,2012,02. Febrero,07. Domingo,Solo Daños,0,1,0,0,0,0,0,0,0,0,1,0,CALLE,Kennedy,10:30:00 p. m.,AGENTES DTB,01. NORTE,Empresa,Nocturno,No aplica
631,26/02/2012,2012,02. Febrero,07. Domingo,Con Heridos,0,1,0,0,0,0,0,0,1,0,0,0,CARRERA,Ricaurte,07:00:00 a. m.,AGENTES DTB,06. LA CONCORDIA,Empresa,Diurno,No aplica
632,26/02/2012,2012,02. Febrero,07. Domingo,Con Heridos,1,0,0,0,0,0,0,0,0,1,0,0,CARRERA,Conucos,01:20:00 a. m.,AGENTES DTB,12. CABECERA DEL LLANO,Empresa,Nocturno,En restricción
633,26/02/2012,2012,02. Febrero,07. Domingo,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CARRERA,San Rafael,02:00:00 a. m.,AGENTES DTB,03. SAN FRANCISCO,Empresa,Nocturno,No aplica
634,26/02/2012,2012,02. Febrero,07. Domingo,Con Heridos,0,0,0,0,0,0,0,0,0,2,0,0,AVENIDA Q SECA,Alarcon,06:00:00 a. m.,AGENTES DTB,03. SAN FRANCISCO,Particular,Nocturno,Sin restricción
635,26/02/2012,2012,02. Febrero,07. Domingo,Solo Daños,0,0,0,1,0,0,0,0,0,1,0,0,CARRERA,La Feria,10:20:00 a. m.,AGENTES DTB,04. OCCIDENTAL,Particular,Diurno,Sin restricción
636,26/02/2012,2012,02. Febrero,07. Domingo,Solo Daños,0,0,0,1,0,0,0,0,0,1,0,0,AVENIDA Q SECA,Alarcon,12:25:00 p. m.,AGENTES DTB,03. SAN FRANCISCO,Particular,Diurno,Sin restricción
637,26/02/2012,2012,02. Febrero,07. Domingo,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,TRANSVERSAL METROPOLITANA,Real de Minas,12:45:00 p. m.,AGENTES DTB,07. LA CIUDADELA,Particular,Diurno,No aplica
638,26/02/2012,2012,02. Febrero,07. Domingo,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,AUTOPISTA FLORIDA BUCARAMANGA,Nuevo Sotomayor,01:00:00 p. m.,AGENTES DTB,12. CABECERA DEL LLANO,Empresa,Diurno,No aplica
639,26/02/2012,2012,02. Febrero,07. Domingo,Con Heridos,0,2,1,0,0,0,0,0,0,0,0,0,AUTOPISTA FLORIDA BUCARAMANGA,Gomez Niño,02:20:00 p. m.,AGENTES DTB,06. LA CONCORDIA,Particular,Diurno,No aplica
640,26/02/2012,2012,02. Febrero,07. Domingo,Con Muertos,0,0,0,0,1,0,0,0,0,1,0,0,CARRERA,Centro,06:10:00 p. m.,AGENTES DTB,15. CENTRO,Empresa,Nocturno,Sin restricción
641,26/02/2012,2012,02. Febrero,07. Domingo,Con Heridos,1,0,0,0,0,0,0,0,0,1,0,0,CARRERA,Cabecera del Llano,03:10:00 p. m.,AGENTES DTB,12. CABECERA DEL LLANO,Empresa,Diurno,Sin restricción
642,26/02/2012,2012,02. Febrero,07. Domingo,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,CALLE,Campo Hermoso,06:00:00 p. m.,AGENTES DTB,05. GARCIA ROVIRA,Empresa,Diurno,Sin restricción
643,26/02/2012,2012,02. Febrero,07. Domingo,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,San Miguel,08:00:00 p. m.,AGENTES DTB,06. LA CONCORDIA,Empresa,Nocturno,Sin restricción
644,27/02/2012,2012,02. Febrero,01. Lunes,Con Heridos,1,0,0,0,0,0,0,0,0,1,0,0,ANILLO VIAL,Rio de Oro I,07:00:00 p. m.,AGENTES DTB,04. OCCIDENTAL,Empresa,Nocturno,Sin restricción
645,27/02/2012,2012,02. Febrero,01. Lunes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CALLE,Provenza,08:20:00 p. m.,AGENTES DTB,10. PROVENZA,Particular,Nocturno,No aplica
646,27/02/2012,2012,02. Febrero,01. Lunes,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,Mutualidad,05:00:00 a. m.,AGENTES DTB,03. SAN FRANCISCO,Empresa,Nocturno,Sin restricción
647,27/02/2012,2012,02. Febrero,01. Lunes,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,Alarcon,06:30:00 a. m.,AGENTES DTB,03. SAN FRANCISCO,Particular,Diurno,Sin restricción
648,27/02/2012,2012,02. Febrero,01. Lunes,Solo Daños,0,1,0,1,0,0,0,0,0,0,0,0,AVENIDA Q SECA,Garcia Rovira,03:18:00 p. m.,AGENTES DTB,15. CENTRO,Empresa,Diurno,No aplica
649,27/02/2012,2012,02. Febrero,01. Lunes,Solo Daños,0,1,0,0,0,0,0,2,0,0,0,0,CALLE,Girardot,04:15:00 p. m.,AGENTES DTB,04. OCCIDENTAL,Empresa,Diurno,No aplica
650,27/02/2012,2012,02. Febrero,01. Lunes,Solo Daños,0,0,1,0,0,0,1,0,0,1,0,0,CALLE,Villa Helena I,04:40:00 p. m.,AGENTES DTB,02. NORORIENTAL,Empresa,Diurno,Sin restricción
651,27/02/2012,2012,02. Febrero,01. Lunes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,AUTOPISTA FLORIDA BUCARAMANGA,SIN INFORMACION,08:30:00 p. m.,AGENTES DTB,SIN INFORMACION,Empresa,Nocturno,No aplica
652,27/02/2012,2012,02. Febrero,01. Lunes,Solo Daños,0,0,0,0,0,0,1,0,0,0,0,0,ANILLO VIAL,Cafe Madrid,09:20:00 p. m.,AGENTES DTB,01. NORTE,Empresa,Nocturno,No aplica
653,27/02/2012,2012,02. Febrero,01. Lunes,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,AVENIDA Q SECA,Alarcon,05:30:00 p. m.,AGENTES DTB,03. SAN FRANCISCO,Particular,Diurno,Sin restricción
654,27/02/2012,2012,02. Febrero,01. Lunes,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,Conucos,07:45:00 a. m.,AGENTES DTB,12. CABECERA DEL LLANO,Empresa,Diurno,Sin restricción
655,27/02/2012,2012,02. Febrero,01. Lunes,Con Heridos,1,1,0,0,0,0,0,0,0,1,0,0,CALLE,Centro,12:15:00 p. m.,AGENTES DTB,15. CENTRO,Particular,Diurno,Sin restricción
656,27/02/2012,2012,02. Febrero,01. Lunes,Con Muertos,1,0,0,0,0,0,0,0,0,1,0,0,CARRERA,Villa Mercedes,08:35:00 a. m.,AGENTES DTB,02. NORORIENTAL,Empresa,Diurno,Sin restricción
657,27/02/2012,2012,02. Febrero,01. Lunes,Solo Daños,0,2,0,0,0,0,0,0,0,1,0,0,CARRERA,Centro,03:30:00 p. m.,AGENTES DTB,15. CENTRO,Empresa,Diurno,Sin restricción
658,27/02/2012,2012,02. Febrero,01. Lunes,Con Heridos,1,0,0,0,0,0,0,0,0,1,0,0,CALLE,Campo Hermoso,05:05:00 p. m.,AGENTES DTB,05. GARCIA ROVIRA,Empresa,Diurno,Sin restricción
659,27/02/2012,2012,02. Febrero,01. Lunes,Solo Daños,0,0,0,0,0,0,0,1,0,0,0,1,AUTOPISTA  NORTE,Garcia Rovira,08:30:00 a. m.,AGENTES DTB,15. CENTRO,Empresa,Diurno,No aplica
660,27/02/2012,2012,02. Febrero,01. Lunes,Solo Daños,0,1,0,0,0,0,0,0,0,0,0,1,CARRERA,La Ceiba,04:30:00 p. m.,AGENTES DTB,06. LA CONCORDIA,Empresa,Diurno,No aplica
661,28/02/2012,2012,02. Febrero,02. Martes,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,Centro,06:45:00 p. m.,AGENTES DTB,15. CENTRO,Particular,Nocturno,Sin restricción
662,28/02/2012,2012,02. Febrero,02. Martes,Con Heridos,1,0,0,0,0,0,0,0,0,1,0,0,CARRERA,Terrazas,06:15:00 p. m.,AGENTES DTB,12. CABECERA DEL LLANO,Empresa,Nocturno,Sin restricción
663,28/02/2012,2012,02. Febrero,02. Martes,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,TRANSVERSAL METROPOLITANA,Bucaramanga,09:50:00 p. m.,AGENTES DTB,08. SUROCCIDENTE,Empresa,Nocturno,Sin restricción
664,28/02/2012,2012,02. Febrero,02. Martes,Con Heridos,1,0,0,1,0,0,0,0,0,0,0,0,CARRERA,Alarcon,06:30:00 p. m.,AGENTES DTB,03. SAN FRANCISCO,Empresa,Nocturno,No aplica
665,28/02/2012,2012,02. Febrero,02. Martes,Con Heridos,0,0,0,0,0,0,0,0,0,1,0,0,CARRERA,Alvarez,11:25:00 p. m.,AGENTES DTB,13. ORIENTAL,Empresa,Nocturno,Sin restricción
666,28/02/2012,2012,02. Febrero,02. Martes,Solo Daños,0,1,0,0,0,0,0,0,1,0,0,0,TRANSVERSAL ORIENTAL,EL TEJAR,11:40:00 a. m.,AGENTES DTB,16. LAGOS DEL CACIQUE,Empresa,Diurno,No aplica
667,28/02/2012,2012,02. Febrero,02. Martes,Solo Daños,0,1,0,0,0,0,0,1,0,0,0,0,CALLE,SAN FRANCISCO,10:50:00 a. m.,AGENTES DTB,03. SAN FRANCISCO,Empresa,Diurno,No aplica
668,28/02/2012,2012,02. Febrero,02. Martes,Con Heridos,1,0,0,0,0,0,0,0,0,1,0,0,CALLE,La Feria,12:20:00 p. m.,AGENTES DTB,04. OCCIDENTAL,Empresa,Diurno,Sin restricción
669,28/02/2012,2012,02. Febrero,02. Martes,Solo Daños,0,2,0,1,0,0,0,1,0,0,0,0,CALLE,San Francisco,05:35:00 p. m.,AGENTES DTB,03. SAN FRANCISCO,Empresa,Diurno,No aplica
670,28/02/2012,2012,02. Febrero,02. Martes,Con Muertos,0,1,0,0,0,0,0,0,0,1,0,0,AUTOPISTA FLORIDA BUCARAMANGA,Antonia Santos Centro,07:30:00 a. m.,AGENTES DTB,13. ORIENTAL,Empresa,Diurno,Sin restricción
671,28/02/2012,2012,02. Febrero,02. Martes,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CALLE,Alvarez,12:50:00 p. m.,AGENTES DTB,13. ORIENTAL,Empresa,Diurno,Sin restricción
672,28/02/2012,2012,02. Febrero,02. Martes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CALLE,Nuevo Sotomayor,03:00:00 p. m.,AGENTES DTB,12. CABECERA DEL LLANO,Empresa,Diurno,No aplica
